Trained,Pruning Percentage,Perplexity,ROGUE-L F1 Score,TTFT (s),Run Time (s),Output Tokens,Time per Output Token (s)
,0,31.10908815096766,1.0,0.0126253325,0.4601945735,626.0,0.00073513510143765
1.0,2.5%,781307.3032906678,1.0,0.012082947,0.4444723525,626.0,0.00071001973242805
0.0,2.5%,304065.98112127866,1.0,0.011819914,0.45710241799999995,626.0,0.0007301955559105
1.0,5.0%,1250532.3487568072,1.0,0.0120428155,0.44408506550000004,626.0,0.0007094010630989999
0.0,5.0%,334114.2240934237,1.0,0.011824307999999999,0.4564385385,626.0,0.0007291350455271
1.0,7.5%,1082693.9141298085,1.0,0.011970129,0.44299843549999995,626.0,0.00070766523242805
0.0,7.5%,304660.0533357742,1.0,0.011896312999999999,0.457252111,626.0,0.0007304346821085501
1.0,10.0%,1468586.64026917,1.0,0.012092435,0.4444479315,626.0,0.000709980721246
0.0,10.0%,304660.0533357742,1.0,0.0118926925,0.4573529975,626.0,0.0007305958426517
1.0,12.5%,2240370.8313061055,1.0,0.012007183500000001,0.444179239,626.0,0.00070955149999995
0.0,12.5%,345225.06814868934,1.0,0.0118719935,0.45705427249999997,626.0,0.0007301186461661
1.0,15.0%,14286875.81539045,1.0,0.011795844,0.4427788265,626.0,0.00070731441932905
0.0,15.0%,334114.2240934237,1.0,0.01197566,0.457692387,626.0,0.0007311379984025
1.0,17.5%,14098842.188875334,1.0,0.0121707185,0.4484729315,626.0,0.0007164104337059999
0.0,17.5%,313871.26658515114,1.0,0.0118582235,0.455687799,626.0,0.0007279357811501501
1.0,20.0%,6118264.397481493,1.0,0.011880746000000001,0.44396028750000005,626.0,0.0007092017372204
0.0,20.0%,313871.26658515114,1.0,0.0119606965,0.456338874,626.0,0.00072897583706065
1.0,22.5%,4646291.338007702,1.0,0.012103817499999999,0.44471048,626.0,0.0007104001277955
0.0,22.5%,355662.7401930894,1.0,0.0119036745,0.4595003745,626.0,0.0007340261573482
1.0,25.0%,11533224.94787513,1.0,0.011990959499999999,0.4429018715,626.0,0.000707510976837
0.0,25.0%,357052.5000794202,1.0,0.012030268,0.4644081255,626.0,0.00074186601517565
1.0,27.5%,6677163.747779513,1.0,0.011875275,0.4475320735,626.0,0.0007149074656548999
0.0,27.5%,324308.9386295512,1.0,0.013233472,0.461620657,626.0,0.00073741319009575
1.0,30.0%,17043265.44837336,1.0,0.012665294,0.4479907295,626.0,0.0007156401429712
0.0,30.0%,313871.26658515114,1.0,0.011837925,0.45839247,626.0,0.000732256341853
1.0,32.5%,5748513.483589869,1.0,0.012241793,0.44527324349999997,626.0,0.0007112991110223
0.0,32.5%,335419.78268481686,1.0,0.0126506255,0.458416782,626.0,0.0007322951789137
1.0,35.0%,9477696.45530111,1.0,0.0118063405,0.445706618,626.0,0.00071199140255585
0.0,35.0%,294854.76787190174,1.0,0.0119536085,0.457510659,626.0,0.000730847698083
1.0,37.5%,14946128.458408298,1.0,0.011843209,0.44513919999999996,626.0,0.0007110849840255
0.0,37.5%,366773.5842483551,1.0,0.0127331615,0.4588950855,626.0,0.00073305924201275
1.0,40.0%,13353184.731695227,1.0,0.011929317500000002,0.4420081625,626.0,0.0007060833266772999
0.0,40.0%,334114.2240934237,1.0,0.012028239,0.4576860655,626.0,0.0007311279001597
1.0,42.5%,10739637.076961394,1.0,0.012124521499999999,0.44596970550000004,626.0,0.00071241167012775
0.0,42.5%,334114.2240934237,1.0,0.011960922499999999,0.4557936985,626.0,0.00072810494968045
1.0,45.0%,12360000.90952393,1.0,0.012368347,0.447090754,626.0,0.0007142024824280499
0.0,45.0%,338036.0013661708,1.0,0.011696637499999999,0.4605160545,626.0,0.00073564864936095
1.0,47.5%,11409991.763828443,1.0,0.013085522499999998,0.446776285,626.0,0.0007137001357827
0.0,47.5%,323676.5520490236,1.0,0.011890999999999999,0.45965936,626.0,0.0007342801277954499
1.0,50.0%,11499248.453390889,1.0,0.011970350000000001,0.446343983,626.0,0.00071300955750795
0.0,50.0%,335419.78268481686,1.0,0.012241317,0.46024911,626.0,0.00073522222044725
1.0,52.5%,14005715.91053161,1.0,0.0137853305,0.448224327,626.0,0.00071601330191685
0.0,52.5%,347247.21461554774,1.0,0.0118870175,0.4588119985,626.0,0.0007329265151757
1.0,55.0%,16936182.34198343,1.0,0.011870847,0.44680823999999997,626.0,0.0007137511821086
0.0,55.0%,323676.5520490236,1.0,0.0118883555,0.458778515,626.0,0.0007328730271565
1.0,57.5%,13711999.739002086,1.0,0.011943835,0.445974369,626.0,0.0007124191198082999
0.0,57.5%,334114.2240934237,1.0,0.011782695499999999,0.4564165305,626.0,0.0007290998889776001
1.0,60.0%,10379023.95992512,1.0,0.0119252755,0.44679633249999995,626.0,0.0007137321605431
0.0,60.0%,344551.8961378237,1.0,0.011753741,0.45647609349999996,626.0,0.0007291950375399
1.0,62.5%,8698715.745869292,1.0,0.0120312255,0.44658829899999997,626.0,0.0007133998386581
0.0,62.5%,345225.06814868934,1.0,0.011790455,0.461330594,626.0,0.00073694983067085
1.0,65.0%,8088305.440495537,1.0,0.0118414615,0.44559921999999996,626.0,0.00071181984025555
0.0,65.0%,313871.26658515114,1.0,0.013422269,0.461367388,626.0,0.0007370086070287
1.0,67.5%,6541805.95717792,1.0,0.0118139045,0.442924119,626.0,0.0007075465159744
0.0,67.5%,345225.06814868934,1.0,0.011632932,0.45657301650000004,626.0,0.0007293498666134
1.0,70.0%,15425499.112859454,1.0,0.0117553935,0.4466528065,626.0,0.0007135028857827
0.0,70.0%,335419.78268481686,1.0,0.0118215995,0.46040146299999996,626.0,0.0007354655958466
1.0,72.5%,23619014.54161859,1.0,0.0118325145,0.448684922,626.0,0.00071674907667725
0.0,72.5%,334114.2240934237,1.0,0.011697254,0.46096366,626.0,0.0007363636741214001
1.0,75.0%,70492457.50902697,1.0,0.011895288,0.444751358,626.0,0.0007104654281149499
0.0,75.0%,313871.26658515114,1.0,0.011846236,0.4575789725,626.0,0.00073095682507985
1.0,77.5%,130666990.36327699,1.0,0.011845409500000001,0.442304833,626.0,0.000706557241214
0.0,77.5%,357052.5000794202,1.0,0.012006883999999999,0.4571521965,626.0,0.0007302750742811
1.0,80.0%,23062193.401527237,1.0,0.0118345535,0.4409394325,626.0,0.00070437609025555
0.0,80.0%,323676.5520490236,1.0,0.0117399845,0.455459733,626.0,0.0007275714584664
1.0,82.5%,37766117.31516074,1.0,0.0119096355,0.4436996445,626.0,0.0007087853746006
0.0,82.5%,334114.2240934237,1.0,0.011910697,0.4590152735,626.0,0.0007332512356229999
1.0,85.0%,353680905.8292248,1.0,0.011820421000000001,0.4440621215,626.0,0.00070936441134185
0.0,85.0%,324308.9386295512,1.0,0.01222207,0.459637545,626.0,0.00073424527955265
1.0,87.5%,101591766.19723795,1.0,0.011831317000000001,0.4434366745,626.0,0.0007083652947284
0.0,87.5%,334114.2240934237,1.0,0.011934236,0.46120105,626.0,0.0007367428913737501
1.0,90.0%,189311746.89404133,1.0,0.0118696745,0.44365181099999995,626.0,0.0007087089632587501
0.0,90.0%,313871.26658515114,1.0,0.012064688,0.4569607605,626.0,0.0007299692659744
1.0,92.5%,37543857.86122327,1.0,0.011915165,0.445543051,626.0,0.0007117301134185
0.0,92.5%,334114.2240934237,1.0,0.0118449925,0.459087009,626.0,0.00073336582907345
1.0,95.0%,1166788.278463085,1.0,0.011813614,0.444393207,626.0,0.0007098933019168501
0.0,95.0%,334114.2240934237,1.0,0.011836306,0.45889940949999997,626.0,0.00073306614936095
1.0,97.5%,983720.8579317972,1.0,0.012120914,0.44322670249999996,626.0,0.000708029876198
0.0,97.5%,313871.26658515114,1.0,0.011781382,0.46055799399999997,626.0,0.0007357156453674
